Review,Label
useless extremely expensive poor content,Application-Worst 
does not play most of the contents. need to uninstall and reinstall to get it working.,Channels-Quality
Full of bugs,Application-Disconnection
episodes are not in sequence and are not updated regularly,Channels-Quality
bahut bekar experience Hai Har Waqt leg aur Bagh Hota rahata Hai content jaldi load Nahin Hota.,Application-Disconnection
waste of money,Application-Disconnection
app doesn't play movies on tv,Packages-Paying without service
fraud ap i pay 149rs but not subscribe no refund no help. govt should banned airtel from india we have to protest against airtel,Packages-Paying without service
Not working outside of India.,Application-Disconnection
worst experience ever,Application-Worst
Live tv channel so cheap,Application-Worst
Live tv not sufficient or ad dislike,Application-Worst
Amezing Application,Application-Nice
Super,Application-Nice
Awesome,Application-Nice
Nice,Application-Nice
Pls increase the number of otts...,Channels-Channel Navigation
Consumes too much data and video quality is awful. It consumed 1 GB data for 10 mins streaming.,Packages-Paying without service
Need to upgrade,Channels-Quality
Good,Application-Nice
Thik hai,Application-Nice
One of the worst apps never works. I am planning to get rid of airtel in my next recharge.,Application-Disconnection
Nice app,Application-Nice
Fantastic app,Application-Nice
Good,Application-Nice
Very good app,Application-Nice
Good app,Application-Nice
Please add zee5 and hotstar also App work smoothly on mobile and fire tv stick,Channels-Channel Navigation
Nice,Application-Nice
Video will not continued when it will stopped due to network issue.,Channels-Quality
Super .......,Application-Nice
Good,Application-Nice
Not working app no open app,Application-Worst
"Monthly recharge make low... Don't give like this worthless OTT. Give us Amazon prime Netflix and 15 days free, unused internet within night hours.",Application-Disconnection
Good,Application-Nice
Awesome,Application-Nice
Best,Application-Nice
Airtel ke age sab fail super se bhi upper,Application-Disconnection
Worst and worst app ever This one doesn't do anything on it Neither it plays live nor the videos that have been kept play. Note Don't waste your time in downloading this application.,Application-Disconnection
Good,Application-Nice
Ok,Application-Nice
Nothing is free here,Packages-Paying without service
"Enjoyed watching, excellent experience",Channels-Quality
Nice,Application-Nice
Lots of bugs,Application-Disconnection
Wifi connect nhi hota hai big problem Airtel fiber,Channels-Quality
V Good,Application-Nice
Amazing,Application-Nice
Very nice,Application-Nice
If there is no option in this app to watch the channel directly. I don't need this app and uninstall it.,Channels-Channel Navigation
Go od service,Application-Nice
Good aap,Application-Nice
Very good,Application-Nice
Good,Application-Nice
Airtel,Application-Nice
"Wow just wow......i uninstalled this app some days back as zee catch-ups were not available....thought of checking once today-thinking u might have improved....After installing the app today, i am seeing that zee channels are also gone !!!....If i check the app description today, ""watch zee live channels"" is still there... STOP fooling the customers....u deserve a negative rating now...",Application-Disconnection
Nice,Application-Nice
Nice,Application-Nice
Nice,Application-Nice
Excellent service!!,Application-Nice
Very very bad tv,Application-Worst
Video Not playing properly some basic stuff please fix the bugs,Customer care-Poor Responsiveness
PATHETIC VEDIO QUALITY WHILE STREAMING,Channels-Quality
Good,Application-Nice
Nice,Application-Nice
Excellent,Application-Nice
Good,Application-Nice
Cheater you guys are telling to buy your all in one subscription but you are not providing all the content which is there is the app. Sony LIV content is also half. Iske aacha toh jio hai jio pe switch Karo sab log,Customer care-Poor Responsiveness
Z tv missing,Channels-Quality
Very Good,Application-Nice
Why live tv is not coming we need zee kannada chanale,Channels-Channel Navigation
Good,Application-Nice
Awesome,Application-Nice
Brilliant,Application-Nice
Very nice,Application-Nice
Worst Application ever it's been stuck,Customer care-Poor Responsiveness
Very nice,Application-Nice
Nice and perfect tv channel I imperesd for airtel xstream,Application-Nice
Good,Application-Nice
Worst experience worst app everytime it's getting paused,Channels-Quality
Nice live tv app,Application-Nice
"Huge scam,giving free register for whole daily data ,m just watching 110minutes film which cost almost more than 1gb in medium quality,what a garbage service,I knew it so I try n I got it,never wanna give in free of cost always have to pay , N one more important think Airtel daily data limit charge more than daily mobile data limit bar,what a scam,",Packages-Paying without service
No live TV channels. Disaster!!,Channels-Quality
Best app,Application-Nice
Waste,Customer care-Poor Responsiveness
"NO #1 AMONG ""Worst App"". In the era of 9.1 Dolby Atmos Audio, this app has only MONO Audio! Video quality is also very POOR. AIRTEL, JUST GROW UP!",Customer care-Poor Responsiveness
Good,Application-Nice
"I am unable to play the videos in this app. After subscription, if this happens what should one do. If the person who owns this app is here, I would have slapped him in the face asked him to sit at home. Because clearly they have no idea why they have created it. Airtel Xstream sucks. Stop being in digital platform area. Clearly you have no sense of understanding the viewers mindset. It's better to sit home idle than false promises that you make through this platform.",Customer care-Poor Responsiveness
Super,Application-Nice
Good,Application-Nice
Very well..so good content,Application-Nice
I have found a bug. It is irritating. Video freezes again and again in this app. Please fix it.,Customer care-Query Resolution
This one is the worst app ever.,Customer care-Poor Responsiveness
Good,Application-Nice
Pathetic..not even able to see a single channel for free..then what is the purpose of using Airtel network...for this same amount of money jio is offering free live channels to watch and enjoy...so Airtel might reconsider to offer more live channels for their customers to watch their favourite channels just for free..,Packages-Paying without service
Good,Application-Nice
Good,Application-Nice
Jio sim jo tv free please airtel airtel tv ko free krdo,Customer care-Query Resolution
Very good app,Application-Nice
Superb,Application-Nice
On this platform you can not watch live streaming in best quality although internet connection is good,Channels-Quality
Good to use,Application-Nice
Super,Application-Nice
Good,Application-Nice
Where is zee in live they remove many other entertainment channel.worst app,Customer care-Poor Responsiveness
"One of the worst apps ever. Frozen screen frames after every 5 seconds. On using the return button, video is stopped and moves to menu page. Really irritating experience",Customer care-Poor Responsiveness
Great and thanks,Application-Nice
Nice,Application-Nice
Till going good,Application-Nice
Great,Application-Nice
So far good,Application-Nice
Good,Application-Nice
Bahut bura,Application-Worst
Bore...,Application-Worst
Hi Airtel please solve playback screen Problem navigation bar not show big problem this upade version 1.63.1 please solve problem earliest thank you team airtel,Customer care-Query Resolution
Airtel deserves negative rating FOR DELETING Zee LIVE TV.,Application-Worst
nothing is free fake application jio is better airtel xstream,Packages-Paying without service
Bakwas,Application-Worst
Waste,Application-Worst
Nice,Application-Nice
hindi apps are there only some of them has other languages,Channels-Channel Navigation
Good,Application-Nice
Nice awesome,Application-Nice
Excellent,Application-Nice
Good,Application-Nice
Hlo Airtel Xtreme team I have buyed 75 rs plan in Airtel Xtreme for zee channels but my money has debited and still i am not able to see Zee channels please kindly see into it So how I can cancel my subscription i have lost my 75rs,Packages-Paying without service
Good,Application-Nice
Third class,Application-Worst
Suppar,Application-Nice
Excellent,Application-Nice
Super cool and then I can you mining in the rest is what it tomorrow and then,Application-Nice
Excellent,Application-Nice
Good,Application-Nice
Good,Application-Nice
I like this app,Application-Nice
Worst experience,Application-Worst
Awesome app,Application-Nice
"Back option annoyed the full display experience,remove it for the better experience,otherwise app content is good",Customer care-Poor Responsiveness
Awesome,Application-Nice
Great experience,Application-Nice
Whenever i try to watch an episode of jehanabad the video gets paused automatically whereas audio is still running in th background. The sceen gets blurred. I have paid for this service. Please fix this issue immediately. Pathetic experience,Application-Worst
Worst application not working properly it needs very high internet speed and after that it buffers like the old time CD players video stuck at a point and audio goes forward. I'm irritated with this subscription just kept my money in fire,Application-Worst
it was good but after update this is worse. after paying for subscription still ads coming,Channels-Quality
Best,Application-Nice
Nice,Application-Nice
Please upload latest movies and shows,Customer care-Query Resolution
Waste of money,Application-Worst
Good,Application-Nice
Good,Application-Nice
Very nice,Application-Nice
Superb app. Should consider adding Other platforms like Prime or Netflix,Application-Nice
Very nice,Application-Nice
Video quality con't change when we play High quality it's not adjusting playing poor quality remaining all ok,Channels-Quality
Good channels,Channels-Quality
The video quality is still low even if High Quality is selected even on Airtel's own Fiber optic internet. Pathetic app,Channels-Quality
Brilliant,Application-Nice
Good,Application-Nice
"Make A fool, No hindi contents Dont buy mistakely Advertising Popular Show and movie After subscription no new contents",Application-Disconnection
Totally good,Application-Nice
Zee anmol not showing,Application-Worst
Nice application........,Application-Nice
There is option and not visible of Zee tv channels i request to plz slove this fast orelse it is a best app,Customer care-Query Resolution
"Awesome interface, quality integration and best service..",Application-Nice
Nice,Application-Nice
"Not able to download your application, can you do something about it",Customer care-Query Resolution
Worse app. I buy the subscription and it's not working nor allowing me to watch movies from contents. Asking to switch to airtel.,Application-Disconnection
Very good,Application-Nice
Why live channel is not working.... Fix it as soon as possible,Customer care-Query Resolution
All channels are not available like zee anmol and zee t.v,Channels-Quality
"Good for enjoy, Good for timepass, video quality is good",Application-Nice
Very good,Application-Nice
Great,Application-Nice
Please ad Sindhi tv channel,Customer care-Query Resolution
It's not working on my device.,Application-Worst
"Bad experience. After watching a movie or any thing in this app, i am recieving a bad internet service (unable to see video in YouTube, lagging etc.)soon after exiting from this app. It has became a constant trouble ,that i should restart my phone to overcome this issue. please fix it sooon.",Application-Worst
It's a great,Application-Nice
Nice service,Application-Nice
Good,Application-Nice
Some stupid software engineer made this TV channel. Better to close this app than that. This is the worst TV app ever.,Application-Worst
Very Good. Easily,Application-Nice
Worst app yeh app install karne se achha hai play Store hi open na karu,Application-Worst
"I was watching a movie under Sony LIV app and option for Subtitle is disabled , when I saw in original Sony LIV app then it's working perfectly fine, please add Subtitles option for all contents.",Application-Worst
There is no download option in any channel..,Channels-Quality
"Worst app no movies and channels available. It will navigate to another app/channel l, that channel/app has to be subscribe by paying money waste app.",Channels-Channel Navigation
Suuuperr,Application-Nice
Good,Application-Nice
Doesn't include tv channels,Customer care-Query Resolution
Good,Application-Nice
Special thanks a airtel Xstream app is not just app is very good is very nice i get airtel firber is next level experience to,Application-Nice
Good,Application-Nice
Hoichoi is very good show,Application-Nice
Great,Application-Nice
Great,Application-Nice
Good,Application-Nice
Easy to use.,Application-Nice
It is so underating app because the app now don't show the zee marathi and all zee channels on it..so i dont recommand all of u..and I request the airtel xstream plz take the zee marathi app again..and also the other channels like sony tv and all other channels are not opening,Channels-Quality
Stream quality sucks,Channels-Quality
its ok,Channels-Quality
Fantastic app,Application-Nice
Good,Application-Nice
Good,Application-Nice
The quality of videos is not changing rven after doing the settings Plas 360p quality even when set to high Terrible experience,Packages-Paying without service
WONDERFUL,Application-Nice
Worst app. While selecting lower video quality it automatically gets high video quality within few seconds..If I select 144 or 240 it automatically gets to 360 or above in few seconds. Again i need to select lower quality but again and again it gets above 360..Do something ASAP,Packages-Paying without service
Live tv feature not working..not showing.. inside app..be update and get 5 star rating..,Application-Worst
Worst app.,Application-Worst
Good,Application-Nice
Very good,Application-Nice
Not good,Application-Worst
This app is bluffing us They want us to install the app because of live TV but after somedays that option gets closed for everyone You are bluffing your customers airtel Not fair,Application-Worst
Awesome,Application-Nice
Amazing,Application-Nice
The movies are good,Application-Nice
Good,Application-Nice
Super,Application-Nice
"Please enable download fuction for videos, download for shark tank, the kapil sharma show, cubicles, gullak, jl50, tabbar nothing has download options, also i not got prime free for 84 days as i already recharged for 999",Customer care-Query Resolution
Good service,Application-Nice
Very good experience,Application-Nice
Good enough for entertainment...,Application-Nice
Super,Application-Nice
Supperb,Application-Nice
Nice,Application-Nice
good service,Application-Nice
"Bad experience with video quality. Even in High quality option, quality goes below avarage. Almost all the videos are of very poor quality. For example I have sony liv subscription. The quality that I see in the sony liv app, I don't get even a fraction of that quality in this app. I have never seen such a bad app before.",Channels-Quality
Good,Application-Nice
live tv option missing in andriod tv app of airtel xtream,Customer care-Query Resolution
Superb app,Application-Nice
Good,Application-Nice
poor video quality ,Channels-Quality
very good airtel.,Application-Nice
Nice,Application-Nice
The 84 days free subscription made my 84 days....,Application-Nice
"So much improvement needed please try to fix all problems, specially slow loading",Customer care-Query Resolution
Good,Application-Nice
Did you remove the Zee Bangla channel permanently?,Customer care-Query Resolution
Wow,Application-Nice
Very waste no useful,Application-Worst
Very good,Application-Nice
Not useful. Not at all helpful to access OTTs in Xstream.,Application-Worst
"Very poor application,non of the sports channel work, asking for primium,jio is batter than this jiotv gives all the channels free to watch",Application-Disconnection
Excellent,Application-Nice
Nice application,Application-Nice
Good,Application-Nice
Will prefer jio anytime than this piece of dump,Application-Worst
I'm very happy to see Kannada Live TV channels,Application-Nice
Very bad,Application-Worst
"Worst app ever , video keeps buffering and audio plays don't waste money",Application-Worst
App not works mostly,Application-Worst
Very bad experience I wanted new connection tried calling many time but they only end up with call arrange krwa rahe hai but aaj tak 15 din k upar hua aaj tak call nhi aya,Customer care-Poor Responsiveness
Nice,Application-Nice
After subscription forcing to watch ads only not allowing to watch content for what I have subscription too much disturbing,Customer care-Poor Responsiveness
Very bad..in live tv only Sony channels are show..,Channels-Quality
Excellent,Application-Nice
Smooth and handy,Application-Nice
Best app to watch ott platforms,Application-Nice
Totally waiste your time,Application-Worst
I can't open this app,Application-Worst
Excellent !,Application-Nice
Excellent,Application-Nice
All in one just awesome,Application-Nice
Very nice app,Application-Nice
Good app...,Application-Nice
Very good app,Application-Nice
Useful,Application-Nice
Very bad experience i want to give you zero star,Application-Worst
Good,Application-Nice
App chalu nahi ho raha hai,Channels-Quality
GOOD APP,Application-Nice
Nice App,Application-Nice
Good,Application-Nice
Love the experience,Application-Nice
Not allowing to deselect channel,Channels-Channel Navigation
Good for watching,Application-Nice
Enjoying the app...,Application-Nice
Very bad video quality.,Channels-Quality
Nice & good app,Application-Nice
"Not good for video quality, doesn't matter what quality you select and this is basic of any streaming apps available in market",Channels-Quality
Wow,Application-Nice
There is no all channels and TV guide,Channels-Channel Navigation
Wonderful,Application-Nice
Good,Application-Nice
Supr,Application-Nice
I just say one thing about this app it's really Worst..,Application-Worst
Zee Marathi content n channel removed from the app.,Channels-Channel Navigation
This so cool,Application-Nice
I am very happy with this app,Application-Nice
"I'm very disappointed that Airtel Xtreme has removed the Zee TV channel from its app. I used to watch my favorite shows on the app, but now I can't. It's really inconvenient, and I hope Airtel Xtreme will bring back the Zee TV channel soon in live TV.",Channels-Channel Navigation
App lags in every 10-15 minutes,Channels-Quality
Too much lag,Channels-Quality
For android TV app very bad compare to jio TV . Very few OTT subscriptions offered for Android TV app .,Application-Worst
Zee tv is not working,Channels-Quality
Very bad app. Having subscription but not providing live zee tv chennal,Packages-Paying without service
Very nice application,Application-Nice
Best aap,Application-Nice
Zee kannada chanel,Channels-Channel Navigation
Very good,Application-Nice
Good,Application-Nice
Good,Application-Nice
Your live tv is not working,Channels-Quality
Sooper,Application-Nice
"No use, live tv channels removed. Only Sony available but there's sonyliv so no use being a sonyliv subscriber. Uninstalling.",Channels-Quality
Zeesarthak,
Bes of application,
I think app is hungry already cut all serial channel from the app,
Good,
Upendra panda774,
Very good,
I want to give it no stars but the show I use to watch like Zee tv was not there from the latest version I use to watch it every day but now I am soooo angry 😡😡😡😡😡 after this I will delete this app if the channel did not come back I not satisfied with this😡😡 any of the chanell like Zee cinema Zee anmol etc.. are there. At the picture in playstore there is Zee tv HD and others which is not in this app from the latest version the old version was more good there was more channels,
UI is the most disappointing part. Especially on the set top box.,
Such a sneaky way to add the paid version of premium without giving any option to cancel the service after trial.,
Fantastic app and it is free with airtel pack,
Bakwas app,
Bugs & Bugs nothing else everytime I play a video it says aw! Snap something went wrong And the screen keeps loading. Anything I play in the app it's keep loading on and on,
Worst experience ever. All the time app is buffering.,
"Very good app for streaming various ott app like hoichoi, sony liv, eros now, lionsgate play and various app.",
Very super app,
Nice app,
Indias sabse bakwasssss service Airtel,
Vey good,
Cool,
Akshay,
"Gives a lot of problems with playing the episode you want to play, I would try to play a different episode but it would keep playing some other. Also the video quality keeps fluctuating into really bad one.",
Super,
Good,
Ok,
Contents arrive one or even two days late than on the original channel. My 149 rupees have gone to waste. Total waste of an app. Navigation is also sluggish. Not at all worth it.,
good,
Great,
Zee telugu channel is not coming in it very wrost,
Good TV,
🙄Not interest for use airtel Xstream app.why means.Removed the live tv channels n zee network is not available in xsteam app.But you give some updates in application and then after few days removed other network channels .Example who buy the dth connection allowed that customers only with existing pack channels.Ex: Tata sky give the best features in application live tv channels in based on existing pack channels to customer.Good bye airtel xstream app....🤨,
It is possible to cast the video to tv?,
I'm not able to download any movie,
Poor quality development. Logs out automatically every now and then. Messes up the usability.,
Nice app,
Very nice,
Please add download options,
"Video quality remains same at low for any option, high, low or auto. Such low quality that it is not watchable on phone also.",
Bad experience.... Every time buffer...,
Hamare yaha Tawer hi nahi milte hai to install keyo kare ?,
After last update app is working fine. But still loading slowly than other streaming apps.,
No. Zee Kannsda,
Excellent experience as of now. Hope it may be continued. Download and enjoy your favourite stream. Thanks Airtel. Keep it up 👍👍👍,
Exerllan app,
Good,
This app Is Not Working . Mobile Automatically Stop And App Not Working,
Since 20th February I can't watch zee bangla hd.,
Waoo,
Nahi chal raha hai live tv,
Best one,
Airtel zindabad,
Ok,
Please,
Great app,
Wonderful,
Aminulhoque,
Good App,
Please add zee Marathi live Channel s and other entertainment channels,
Please add zee tv,
Zee TV issue,
Very nice,
I'm not able to open app,
excellent.,
i want zee tamil serail,
Bad,
It's a good experience. But if there is a facility of downloading the video it would be great.,
Not good it is not showing all the entartainment channels like Zee telugu,
Amazing,
Bast app,
M. C. He yeh,
Nice,
Zee channels from Live TV has disappeared since yesterday. Please look into it.,
Good,
first you removed colours channel and now you also removed zee tv channel from live tv also why why and why?,
Good,
Goood,
Good,
Can't find the required content,
Not working,
Best!!,
Sandar,
Good👍,
Super app,
Some more entertainment is required please,
Even I recharged a pack which has subscription for this ..still it's showing to pay money againa,
Amazing,
Very nice app,
Good,
Excellent,
Barbar live channels chale jate hai abhi zee ke channel 2 din se nahi dikh rahe please continue the services Or hamesha ke liye band kijiye to other app dekhenge barbar services change hoti rahti hai pls don't do this,
Good,
Bad app,
"AGAIN YOU HAVE REMOVED ZEE CHANNELS Why you have removed the live TV option, people like us who are mostly traveling used to watch TV while on the go. Kindly look into it and restore the same as most of the viewers are complaining for the same.",
Goodb,
nice,
Nice,
Good,
We want pay all otts,
I like old version of this app I updated new and I lost mostly live channel that's why I giving 1 star only ......ok thanks then I will remove it uninstall it bcoz it's waste for me without that feature,
Zee bangla HD Chanel are not available,
Quality not good but working better,
Good,
Great app,
"Worse experience with your service. I already recharged my plan in advance, still this app not working on date 20 of every month. I have complaint too many times. But still the same. I wish playstore will add negative star rating in feed. This is not recharge related issue. This is your app subscription issue.....",
Zee TV channel please,
Nice 👍👍,
Superb service,
Everything is good,
Waste of time,
Excellent,
Good for anyone,
It's awesome application,
Nice,
Good access,
Good,
The app keeps on restarting in middle.,
Very good,
14 3 1991 13 4 1995,
Good app,
Worst app not skip properly,
I love this app because I enjoy it a lot,
Good,
Why You Remove & TV Channel,
Superb,
Facing problems with TV shows.,
Xtreme ly bekar....,
Nice👍👍👍,
Wherygood,
Zee sarthak nehi ara hai,
খুব খুব ভালো...,
Good bad,
Very bad,
plz recusted you kundali bhagya serioul give me,
Truly enjoyed,
Nice,
The best sarvis,
Keeps on crashing lots of bugs pathetic experience,
Hi Wtc,
Where is the live tv channels? Worst app I hade this app i don't like it Airtel xstream app is very very bad do not install this app please,
Nee tamil live tv,
Best,
Bad app,
Suparrrrrr,
Surper nice please add sons of anarchy to it.,
Kumkum kumari,
Very nice to Airtel xstream,
Excellent,
Osem experience,
Very good app,
Nice app,
I is good app,
Nice collection of movies and series. I like the picture quality. Most impressed things is all the available content is in best possible quality.,
Zee TV is not working 😡😡😡,
Zeetamil,
The video screen does not cast on smart tv,
😁,
Good,
But live channel not open,
Cartoon ceneel nahi hai,
nice app for shows,
Super,
!hattamam,
Not good,
Wow,
Kick,
Worst app...i want old Airtel TV this app is worst app,
I am not able to see live channels of zee bangla on the app. Please help.,
No download option available...also poor interface,
Nice,
Good service 👍,
Z bangla alny prblm,
Z ee bangla not can but any prolm,
mast app chho ho,
Airtel Xtream💯👌👌👌💕,
Exlent,
Hh,
Very good experience to watch content in this app,
Non stop watching in good video quality,
Erfft,
Only download free 😂 download mat kor na,
Worst experience,
Fraud! All Airtel does is scams! Worst company ever!,
Very bad,
Nice,
Good,
Nice,
Good,
Not work properly,
Very nice,
Smooth and lag free streaming.,
Why we download this for live channel but after some time channel of live section gone what wrong was that therefore i give one star,
Ji Fariya kevadiya,
Very good experience and I enjoy a lot,
Mind blowing,
Fusssaaaaddddd.,
Awesome,
Good App,
Good,
Kannada channels not show😩,
"What kind of service are you guys providing with no option to download??? So, pathetic in that sense.",
Good but in smart TV I have to find live tv. Please make smart TV app like phone where we can find live tv in one separate place. Thanks,
Awesome,
Nice app to watch free webseries and movies.,
Quality good 👍,
Mujhe jayada channel chahiye 1000+channels subscribe free recharge channel,
Excellent,
Good app but mobile Date is very fast user,
Good 👍,
Good,
Good,
Very bed network very slow speed in 2 GB net pack,
😟,
Amazing !,
XZ,
Nice app,
This app is amazing for people,
"Extremely poor experience, in original ott there are new contents but with xtream new shows not available. Not searching option also. Why so?",
Nothing to say about this app 😳,
Cool experience..,
Exllent,
Ok,
Rjtsek,
Good,
Amazing movie collection for free 😍,
Nice,
Very good,
Airtel TV not free. Jio is best,
Superb,
Really Great Content!,
Vishu thing good ok k,
Excellent app with informative and entertaining,
Really wonderful. Got all the shows i wanted watch.,
Good,
Superb. Just download and enjoy.,
Free Airtel SIM Airtel TV dekhne Ko Nahin Milta Hai,
Superb,
isse aachha jio TV Movies free me de raha hai,
Good app,
Disgusting app,
Good,
Very bad too much time taking for opening 😡😡😡😡,
I am a Airtel SIM user this app does not for Airtel custemers. We have to pay ₹140 to watch any channel or movies. Do they think thay are like Netflix or Disney Hotstar. Instead of this app jio tv is much better then Airtel xstream it as free channel and live shows for free of cost.,
Good,
gd,
Please add more live TV channels and improved video quality in app because it stream in standard quality always even if I selected high quality where airtel network is also good other streaming App work fine in HD only xtreme App lag and please add more live TV channels,
Good,
Nice,
Super,
"Terminated the plan 2 months back, still receiving the bill. And that's not the first time Airtel has been generating revenue my cheap means, stop such dirt!",
Nice,
Good,
The app is super for me,
Good experience,
Very poor,
Very nice 👌,
Good,
Not good 🤣🤣🤣,
Excilent,
Good,
Good app,
"Thank you so much sir, I will not need to buy a set box. I will bring your application TV as well.Question: Full channels are not coming in this and if you want us to open the application, then we are ready to pay for it.",
👌👌👌,
Good,
"It says Device is incompatible, I am shocked as I am using Realme 8 5G latest Android version",
"THE WORSSST APP EVER SERIOUSLY I'm having airtel xstream premium still not able to download any movie/series , even the video quality is veryyyyy bad shame on you team airtel , I'm upgrading to jio fiber after such poor service from airtel . No download in any quality available even old movies are not downloadable , the quality suckkks WORST USER EXPERIENCE I WABTED TO RATE IT 0 STARS I hate using airtel nowwww experience sucks even casting feature doesn't work this is worthless",
Video quality is very poor. Medium and high quality button do not work.,
If Sony liv application broadcasting PSL then why Sony liv channel in Airtel Xstream app not premiering PSL after subscription after couple of matches?,
Very good,
I love it.... Amazing,
Hot app,
Good,
Great experience,
Cool,
Nice,
Full of junk in the app like adds and stuff come on atleast for customer put important information so that they can atlest find there bill and services no proper customer service to,
Good,
No subtitles for english shows/south shows,
మూవీస్ చాలా బాగుంది,
"Quality of video is not up to the mark even we choosed high, it's just feels watching movie in 360p or 240p.",
"Except for Amazon Prime and Netflix, it is better than other apps.",
Ok,
Best app,
Why Zee cafe not available,
Good,
As of now it's good,
Good aap,
Netflix add,
Good,
So So... not includes prime & netflix and the major thing is every content is not eligible for download. Yes the content is good for eg dekh bhai dekh like shows which recall your childhood days bt it can be more better.,
कुछ सीखो जियो telecom से वो भी जियो tv free दे रहे हैं और तुम्हें इस घटिया quality के app के लिए भी रुपये चाहिए,
No live chenal,
