Review,Label
Good for viewing in short interval,
Osm,
Loving it 👍🏼,
It gets crashed when phone call comes...also many a times episodes doesn't load...we have to close the app 3-4 times then it works properly else only trailer plays irrespective of the episodes selected,
Super,
Hahut hi achha hai app,
Better than jio,
Nice,
👍,
Please non Airtel user add and you see your growth increase please my advice and non Airtel user provide user id your customer and apko apni soach thoda jio se alag karni hogi 🤔,
While watching videos in between calls come after disconcerting the call screen Paused unable to reconnect video vary bad app,
This is best app in ott platform with lot of content absolutely free on Airtel recharge.,
Super amazing fantastic hd quality and my favourite telegu channel are here,
Excellent,
Nice,
Excellent.....Hoichoi Bangla ❤️,
Nice,
"The channels Integration sucks. WWE shows from SonyLiv channel doesn't have any identification. How are we supposed to find which show aired on which date and even if we are able to find the latest episode we have to wait till the next day it was aired only then it's playable, on the day it's aired if we try to open it says technical issue.",
I don't know hou it is.,
नेटफ्लिक्स जितना अच्छा नहीं है क्योंकि इंग्लिश मूवी हिंदी में डब करके दिखाते हैं,
Excellent 😊,
Video quality is poor. Download options should be available for each and every videos. Only a very few videos can be downloaded in your apps.,
Good,
Supar,
Nice,
Easy to operate,
🤬🤬,
Good,
You get latest movies here which you can't find on other OTT platform,
Good,
👍,
Great App,
Super,
Nice,
Worst experience dont buy airte connection,
Nice web shows Super,
This app doesn't work in xstream box. I could not watch Maharani and Jahanabad on TV as it doesn't show in hindi language despite title is showing hindi language.,
Very bad,
Netflix need,
very very bad app.,
It hangs a lot while using,
Best for cricket match,
Nice,
Good,
Super h,
Good,
Good,
Good,
Op yr,
Good,
Excellent,
Nice movie nice episode very excellent app,
Nice,
Great 👍,
Good app,
"Worst app I ever seen. No download option, No continues HD watching.",
Cool,
Nice app,
Very good,
Good app,
Nice,
Best app,
Nice,
Nice,
Good,
Excellent,
Average.,
Good platform ott,
Excellent💯👍👏,
Excellent,
"Very worst services airtel fiber internet & their customers care, engineer. Very chip committed to people's.",
Does not open this app,
Great,
Good,
Nyc app's jp dixit,
Bad Userface,
Good aap,
Bad app worst experience ever..too much adds ...doesn't work properly while live streaming..,
Super,
When this app be available on Samsung TV,
Loading issue during the half at every watch,
Mast hai bhai 👌👌,
The most worse app in the world 😏,
"Good feel. UI could be a bit friendlier. It would be great if there was an option to ""log out of all devices"" option",
Good,
Nice app,
Good,
Picture Quality doesn't apply. Lags also.,
Very bad,
It is very nice 💜💜,
Useful APP. Great content,
Excellent,
Good,
I like this app,
Very bad experience.first time I can see all channnels but now I can only few channels..,
"Number of bad apps within 10 minutes, 1 minute ad again and again.",
"This app today I installed and its not opening,its KEEP STOPINGGGG",
Why can't we have speed option like 1x 1.5x 2x 2.25x 2.5x 3x for Shark tank or any show. We all need that.,
No option of subtitles in sony and others,
Shark tank episode are not getting updated on the app after 25,
Yet not the episodes after 25 are not updated on the app. Why I am not getting new episodes of Shark Tank on Sony LIV channel in your app? Kindly check and resolve,
Third class service. Last night I bought the Disney+ pack of 199 still not activated even after money deducted. Wrote on Twitter and on mail . Still not working. Hopeless Pathetic company Airtel I will personally slap the man who owns it one thousand time.,
"Video quality always low .... whether you set it medium,high or auto...plz fix this",
I am very happy with Airtel Thanks app. Thanks to the team....,
Very good app for movies and tv shows,
Nice,
Dekho bhai sab channel free karo please 🥺,
Very super,
"This is the best movie app I ever seen ,🤩I am soo happy to this",
Super,
Hi iam in abroad not work this application what can I do,
I always travel abroad for my job. Even when i am in abroad i recharge my airtel number to keep it alive and am being a customer for a long time. But this app doesn't work on abroad.,
Super se upor,
Excellent,
Awesome,
Neither I can download nor I can cast even though it is in plan. And worst thing. It doesn't work on 4g network (12mbps) while other OTT works,
Why will it not take my quality preference???,
Jio TV is best app for all live channel free,
Good,
Jio provide free tv but you just want a recharge. When we recharge in Airtel we are unable to access tv channels via xstream. While as in jio itz free even after and before recharge. If u run out of data and recharge jio tv run smoothly. Kindly update ur system otherwise we have to switch to jio.,
Good hmm,
Need more Hollywood movies. App is good.,
Good app,
Good,
Very nice,
"Takes more than 2 days to upload tv shows from the air time Very disgusting app. Update - WWE shows get uploaded the next day whereas 3 - 4 months earlier, it used to get uploaded within 3 hours of air time which is causing unimaginable embarrassment and anger to me. With these things, a 1 star is also too much as I dont have an option of 0 star",
Why we have to contact airtel digital tv if airtel xtream OTT activation is pending..,
Awesome,
Good,
Bad app,
"Disappointed even after so many months, I don't see they improved other than bug fixes, live-tv option is not there in website, Now the cost of the plan in Rs-719. The feedback mail is not considered they will send a AI bot to tackle us. My point is provide quality of service to the customers or reduce the price",
Very poor streaming quality compared to original oTT platforms,
How can i log out from all devices???,
Net neutrality matters,
👍,
very nice,
BEST APP,
Ok,
Awesome 👍,
Very good experience...,
👍😊,
Superb,
Very Good,
Good,
Fantastic. User Friendly. Great Entertainment! Keep It Up Team Airtel!,
DHAN GIRI,
Very good entertainment,
Good variety of movies and series to binge.,
It is a useless app I disapointed by this app,
Good 👍,
Open,
App improvements needed.,
"If network is not good how can someone use this app to watch movies and shows . Very poor network, i have 90 GB 3g 4g data but unable to use it as data speed is not good.Airlet talks much about 4G but the truth is that they are even unable to maintain 3G network.since last 1 year many complains has been raised regarding network and data speed issue but no action taken.going for MNP very soon",
This one full entrainment good airtel namaste 🙏 👌,
Use before,
Ye app chl kyo nhi rha or isme shows download bhi nhi ho rhe please isko thik kre,
Need more film,
Fantastic,
App often shows issues with opening. Problem not solved after cleaning caches or reinstalling.,
Tdh,
Super,
Worst app,
Happy,
Awesome viewing experience,
Nice app Vary happy me,
Quality low with in high speed 😂 internet,
Excellent,
Very bad,
Very good 👍,
Nyc app,
Good,
"POOR OFFERINGS ZEE5, VOOT, HUNGAMAPLAY, NOT AVAILABLE AT ALL.",
Great app,
Goooooood,
Ssuoer,
Good,
Maghia bala app te 5minet video dekhi thiba ki ni add asuchi 20thara,
Best,
Good quality streaming,
Good,
Nice,
Its really xstream',
Good experience,
Worst...as you recharge they promise a lot with freebie Chanels but its just a fake as u will not get anything...just making fools....,
I was taking 1 mnth premium but in this app download is not enabled for me ... I am very upset 😭😭😭,
Jgg,
Super,
Pathetic app,
Very good App,
Nice,
Good,
"I took airtel broadband connection 5 days back from day 1, i am facing internet issues. I called customer support and raised the issue but no one contacted me till now. I called customer care several times but no use whenever i called they are telling will resolve in 24 hrs. I raised issue 48 hrs back. Pathetic service.",
Good,
Really awesome app,
Watse there is no live TV channels,
Nice,
Best,
Glitchy app,
Thanks to airtel,
Wrost app,
Nice,
I am living at kanpur city but still net speed is 20 to 50 kbps....Is this is called airtel 4g???,
Very good 👍,
Nice on plz move to more new movies,
Mili recharge chesi chudala all ready net balance bokka mali recharge evaduraa petindi,
Good service,
best app,
Osm,
Great product,
Nice,
Amazing experience so far.,
The experience was good.,
Awesome,
Wonderful app..I just love it,
Nice,
"Thanks ❤❤, itni badiya",
So nic all shown on mobile phone & T v,
Op,
Good,
"Worst experience,watching the first episode of faadu love story ,screen goes blurr in every minute",
Exceptional app,
Very nice,
Good,
Very good app 👍.Recently internet speed become 12mbps. Please look into the matter.,
Excellent,
Ok,
Airtel xtream android tv not showing zee channel And so much buggy laggy this application in my android mi tv.,
"Amazing gift, thanks",
It's very good experience,
Good,
"Charging to it's own customer, ridiculous",
Worsted app,
Good,
Fake app why should I pay extra pay watching Live Tata sky app is very good and best free channels all,
Good,
Good,
Good,
"Good, try to made it more easy",
Great,
nice,
By,
Nice xperience,
Subscribe channel গুলোর picture quality জঘন্য।,
Good,
Nice,
Good app😊,
Ok,
Good app of movie 🍿🤩🤩🤩,
Good,
Airtel xstream app playback screen problem not solve watching episode & movie back button remove not showing app navigation bar after Update version 1.63.1 please fix this Issue Thank you team Airtel,
Very nice,
I have a look at the moment. I have,
Nyc ott,
Useful,
Super quality pictures and super fast network I love Airtel,
I love this app very Airtel did very good job. but I have a problem I choosen Sony LIV app . I was watching shark tank i want to download the episode but there is no download option plz fix it . Download option not showing. Otherwise this app is 5 star 🌟,
Nice,
जिंदगी जीने का एक बेहतर अंदाज,
After seeing the reviews i am not downloading..,
Call connectivity extremely poor,
Awesooooomeeeeeeee!!!!!!!!,
Best 👌,
Best OTT app 👍,
Amazing,
Very 3rd class service,
Super,
Good,
Best'hai,
Nice ..,
Download option is not showing,
The app is not opening,
Rest is ok. But please include the download option. There is no option to download content. Although there is a download section But not a download option is available,
Super,
i love this app,
Good,
Needs some improvement,
Nice apps,
Worst app don't download it. Even if you get free too. Time waste.... It doesn't change video quality while we put in high quality also and playing video is full of lags.. even after update the app too..,
Error in playing sonyliv video maharani please rectify your apps,
Very nice app 👍,
I love you,
Awesome 👌,
Nice,
Excellent,
Now Good,
Entertaining and informational,
Good,
Being an airtel user why do we need to upgrade to airtel xstream premium?? Already recharged 299 per month mobile data plan😡😡😡😡... Other operators give free contents to their users🤬,
Excellent app.,
Superb,
Very nice and beautiful app,
Superb app,
Wow exilante,
Bad experience,
Poor services,
बुरा हाल,
"While watching contents if you picked up a call then you can not use the entire screen, this app video will stock in your screen. And you have to reboot your phone. This happened with me like 3-4 times. Video quality is like 480p after selecting high video resolution. So dear team please try to fix it soon.",
Very good,
Its a waste app. They provide this to you as a premium thing in Airtel Black but you hardly get any latest good movies on it. All are either on Prime video or Netflix. Hence no point of this app.,
Good,
Nice,
Super xstream and all old movie's available tq,
Good,
Good,
Very nice,
Very good osm,
Auto adjustment of clarity is not working properly while watching videos.,
Videos are not playing smoothly. Very bad experience to watch Video in this app also few seconds of lag occuring while watching web series and movies.,
Wao❤,
Exilent,
Super,
Good app,
Excellent,
Verynice and good experience,
Ok,
Super,
Nice,
Faltu application,
Good one application,
Too good,
Thank for showing me TMkoc every episode,
Good,
Osm app,
Kklgf Hhh Tyukktryjkkg Hhhhh it's bad,
Exlent,
Everything is fine for viewers,
Don't subscribe there quality is like 3gp,
Good,
Good,
Why show ad in premium subscription. I hate Airtel sim card & other applications very bad customer service very bad 😞 .,
Quite useful,
It's nice to have all those OTT channels in one place,
Good,
Thank you,
Super,
nice and good app,
No clear offers,
Faltu app hai... Koi main stram channels nhi aate ....bikhari hai saale ....itni badi telecom company hai ....par saalo ki mass ache channels kharid ne ka paisa nhi hai ....Bhen ke lode saale !,
Wonderful baby,
Good app.,
Best👍,
Op,
Not the best movies but still a good database and wide varities of channels to choose from.... 3rd star for adding Chaupal channel.... Some awesome Punjabi movies,
Good,
Love itt,
Very nice to Odia series..,
👍👍👍,
One of the best apps in 2023,
Good job 👌,
Good app,
Excellent 👌☺️,
So nice,
Very nice 👍,
🤐😭😰😨,
"what's the point of giving video quality button if it's don't work even after selecting high quality it won't change the quality it automatically work on low, High quality option don't work",
Some films are available only in hindi .. even not in its original language. If that is rectified then its amazing,
Lots of Ads every time,
Why on earth you people changed the live tv interface???? Now can't see the list nor the desired hd channels,
why new ep of sharktank not showing there? Edit: now solved..,
Nice,
Great app,
something went wrong.getting from last two days.get hire good IT Team to resolve.,
Very nice app,
Beid,
Need fast updates of films,
"When I got call from anyone,screen gone black,ui not showing,very sad devops team.",
Great app for all entertainment,
Excellent,
Nice,
😍😍,
Good,
Best aap,
Not interested,
Fast aps,
Excellent,
Awesome,
A person can't watch in lower data impossible in this application. Why the hell you guys force someone to watch on 480s . 2gb data barely sustains for 3 hours.,
Super,
Worst of the worst. Jio is a lot better.,
Good app,
It's too imagine app.,
"Hate the app, just got frustrated, It's been 3 days since I'm unable to play the any video it is buffering only no error, I write the email also, and FYI my internet is good. I'm using tha plan which comes with Airtel recharge.",
Bad service,
Good,
Very nice,
Good,
Names,
Good,
Lovely platform airtel xstream,
Great,
Good,
App is fully entertainment,
Not even willing to give 1 star. Blank screen comes more than movie. And no one will be half wise. I watch movie from wifi,
Good,
Good,
Nice,
This is worst i subscribed for a single channel but after two days that channel is not only there they have removed it,
Excellent very good app,
excellent,
Good,
Best experience with xstream app.,
Good very good👍,
Fentastic 👍,
Nice app,
Awesome,
Nice,
Nice,
Previous tv serials not showing,
Good,
Poor interface,
Op,
This is a very good app ia mvery impress,
Good app,
This app is very useful to me And when we bore we use this app entertainment our family,
Battery draining alot,
Amazing,
Its great,
Nice app,
Nice but all live chennel not shown free only Airtel user must have all xream chennel free,
Having fun❣️😎🤘,
Nice,
Goid,
Good,
"1.English subtitles or Hindi audio is unavailable in some Tamil , Telegu or Malayalam movies showing in Sony LIV channel under airtel Xtreme.",
Best,
I'm So Happy,
Excellent,
"Worst customer experience. I have been trying to get my connection shifted to my new place, they are not taking any action since one week. Whenever I am calling to customer service they are cancelling previous request and raising a new one. Highly recommend not to use Airtel fiber. Instead go for local fiber network. I would have given negative star, if there was an option for that.",
Mast app hai,
Nice app,
Good,
Ok,
👌👌,
Best,
No experience,
Very good,
Good app,
Bangladesh,
Excellent app by airtel,
"Learn something from Jio Tv , it's better in every way for viewing content or using the app as whole",
Super app,
Best app,
Good,
Good,
Super,
Experience is wonderful watching channel in good video quality,
Awesome,
nice,
Gud,
Good app 👌,
Nice....,
Very good app,
Excellent,
Awesome experience on Sonylive as far as entertainment is concerned. You are simply unmatched....,
Nice,
I am full enjoy the movie's,
Very good connectivity. Nice speed for download.,
Nice,
Amazing,
Many Channels are not Available.,
Very nice,
Good,
Awesome,
Great,
The worst service and not fulfilled commitment,
Loving it,
Good,
Ok,
.pjlllk op o🐔🌴🌪️🏵️🍃🍃🍃🏵️🍃🍃🪨,
Good,
Lots of fun and entertainment,
Okkkkkkkkkk,
Awesome,
Best aap providing best experience with Sony LIV,
Jahanabad from sony liv Keep Rolling but not working,
Very nice,
Very bad app because for any vide it's take charge high costly YouTube better than this app,
Super,
👌,
👍💫,
Worst. I was expecting better from Airtel the video quality remains same at low even if you have selected high quality.,
Worst app,
Good,
I cannot claim my rewards for taking up Fibernet 200 Mbps for which some 15 OTT access was promised. Nor is there any procedure for how to activate it.,
Good,
Tha aap is right but some new movies are not avilebal,
Good,
Colors channel not available. And in India colors is compulsory..,
Worst,
Good experience with Airtel x stream,
Good,
Ok,
Big,
Great 👍,
Good,
Okkey but a LOT of improvement needed..... 1. Highest video quality should be 4k. It is not even seem to be 1080p. 2. Main problem is there is no download option in Mobile App version. 3. Regional channels do ñot have subtitles.,
Good,
Good apss,
"This is very poor connection, Wi-Fi not working lust one month, after giving complain continuashly, but not solve.",
Great apps,
Nice,
"It is the most useless app, not even a single channel runs properly and premium has to be taken, even after that they are asking to download bsdk sony live, what is the use of such an app which is not useful, delete it all.",
Good,
Nice,
Pathetic experience,
Shankitha email@com,
1.Recording is chargeable monthly. 2.They close all ott services if subscription expires............ Other things are Okay,
Excellent,
Love it,
👌👌👌👌,
Awesome app,
Best,
Good,
Worst app,
To good,
❤️❤️,
Very Good,
Exhilarating...,
Best ott app ever,
Streaming quality is not good While Singh movie I am finding green screen,
"Episode not loaded in real time , have premium subscription but unable to watch sharktank 2 . Please check airtel team",
Good app,
Very nice,
Marvelous,
Good,
Good experience 🙌,
Worstttt app just making idiot to user not expected Airtel worsttt only show's add in live,
Supar.aap,
Nice app,
Doesn't have a option to manage logged in devices,
👌👌👌👌👌👌,
Kapil sharma show latest episodes not available. This is considered as misguiding cheating. Don't auto charge me next year.,
Great👍💐💐,
Good,
New episodes Of Kapil Sharma show and Maharashtra chi hasya jatra is not getting to watch same day.please fix this,
I cannot watch movies in HD and it's not working suddenly,
Nice,
Great app,
Not bad,
एयरटेल 4G सर्विस बहुत घटिया है।,
Uselesss not sound okk and picture quality not okkk,
Good,
Very nice application...I like it....easy to use...,
Nice entertainment app,
Good experience,
Good,
Good app,
nice,
None of the video is Playing properly. It interrupted alot. Quality of video not good.,
Wonder ful,
Superb experience,
Very nice app,
Nice to app,
Awesome 👌,
Bug plz sl,
Good,
"Facing issue with logging in. ""Authentication failed, Please try again!!"" Is the message I get everytime.",
😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋,
The app is not getting opened in my phone.,
Good,
Best app enjoyed it,
"Good app. 2 stars less because plan does not contain appropriate chanels. It does not give mostly needed chanels like hotstar, Amazon prime, Netflix...etc. fir gold plan.",
Not working tv,
Pathetic trashcan. Alway ask purchase subscription of different ott. If I have to purchase the subscription then what is the use of this app.,
"I want one year subscription of Amazon prime, Sony LIV , Disney plus hotstar in one plan . Please think about it.",
Great app to watch live tv okk 👍,
Thank you,
👌,
😘,
Excellent,
Very good application for the costumers,
Good,
Bead,
Super 💕,
All shows from Sony LIV are not in the app,
Good,
Useless as other airtel stuff. Update2: you will never find the latest Sony LIV content on the xstream app. Everything shows up the next day.,
Good,
Best for the airtel xstream app,
Best,
Valo law,
good,
Good,
"Sir, please add travel xp hd in dth plateform I'm waitting for long time hope you add this channel very soon thank you...",
"Previously, not long ago all the popular channels were free, but alas now NOT.",
Two year's,
Good service from Airtel Xtreme,
I feel Sometimes video quality is not good .,
Superb app not in between nice thank to u Airtel love u,
👍,
Very good app,
Good,
👍 good,
We dont have option download movies. After paying 149/- monthly subscrition charges. Dont have option to download movies in lionsgate.,
The application load issues doesnt load even on wifi 5g. Poor experience,
High speed internet I have also app will take more time to open,
Jin ke setup box mai jo channel activate hai vahi channel isi app me vahi channel chalne chahiye,
Super,
The back button annoys me,
"It's very nice,entertaining app",
Good,
"Last time this app is not working, so many times I tried to open it. But now its okey.",
Good,
Download option missing,
Good,
Awesome experience,
Super,
Nice aap,
Best,
Gud,
excellent.....one of the plateform u enjoy too much....,
Good,
recharge says premium subscription after recharge still shows no active plans even after claiming it ...worst,
"Overall nice experience, keep going up..!!",
Good,
Please improve loading video,
Good,
Whenever I try to reduce video quality it always play with same high quality and consume a lot of internet data.,
How can i download movie?,
Video player should be more good and have some more good features like other OTT have,
I like this app,
unable to watch after having recharge on Airtel,
Good app,
Good,
Even after giving money not receiving the latest episode of all shows of the particular subscription,
Bekar,
Good app for entertainment,
Live tv with cast to tv not working,
Good,
Super,
Good,
Good,
Give more free Dish channels,
All movie prime Aisi app ka ham kya karenge,
Very good,
There are no avtar way of water,
Jay mahakal,
Please open your channel,
Nice,
Worst customer service Cheated a lot of money,
Live tv option in smart tv not available,
Excellent,
Good apps,
"Heyyyyyyyyyy airtel xstream I wanted to tell you that. There are not all tv shows like colours, star plus , Sony Live and Hungama, Disney channel, pogo cartoon network and so on. Which I want to see earlier there was some shows which I like but now there is no show which I like . My request is to add these channel which I suggested in above and I am not happy to give you any star but then also I am giving you two star because earlier you made me happy now also made me happy by adding tv shows.",
It's a good app.,
"Why shark tank India episodes after episode 20 are not updating,Is there any issue with the server?Please fix it. Thanks for fixing the above. I am an Airtel xtreme fiber user ,since apps premium comes under my package but why you are still asking to subscribe @149/month. Please fix up these bugs as they are impacting users like me hightime.",
Nice app,
Nice,
"Fake subscription offers providing with reacharge and there is nothing in subscription while opening app showing please get subscription ,,why are you guys makeing your costumer fool and confusing then by giving such a fake reacharge offers ,, there is nothing free no any channel free with reacharge, so many customers will stop using Airtel services bcz of this fake offers",
Nice...,
Very good 🙂,
Good,
SONY LIVE LATEST EPISODE NOT SHOW IN XTREAM APP VERY DISSAPOINTED LIKE ALIBABA DAASTAN E KABUL TODAY RELEASED ALREADY IN SONY LIV SEPRATE APP BUT IN XTREAM APP NOT SHOW LATEST EPISODE very dissapointed bad app,
"This application is truly awesome for watching series, shows & Movies",
Good,
This is worst app App open timing is very high,
Fraud app. All purchases. I bought 1 month 499 plan just to get sony liv access in airtel xtream. But when I try to access it says buy premium at 150. Total fraud by airtel. I have also mailed the issue to airtel support but no response. Please don't buy any plan that says you will get Airtel Xtreme,
Nice,
Ukhy,
Good,
It runs in the background,
The picture is of poor quality,
While trying to play a movie error showing multiple times,
Best app in the world 🌎 love you Airtel,
Best app but please give me reply😽💞😘🥰,
Excellent,
Lot's of ads I'm porting sim to jio now,
Very good app for entertainment.,
nice 😍😍,
So good,
Excellent,
Best 👍 video quality,
Best,
👍,
"No option/ won't install, show's your (redmi) device is incompatible. Seriously! It's new lows, as it is the app is monetising content so primitive it should be technically free by now but instead such scheming practices.",
Thanks for customer support Airtel Xtreme.,
Awesome 👍🏻,
Iam really happy.. I was facing an issue in this application since monday and i mailed through help and feedback section.. They asked for screenshots and cleared that issue nicely.. Thankyou so much,
"Doesn't operate well, no response to click ...",
Some.time it's stop working automatically,
Awesome user friendly App,
Nice to entertainment,
Excellent ❤️,
After 30th January....Sony LIV content is not updated in this app... Edited on 2nd Feb....Issue Resolved on 2 Feb ... Thanks,
Nice 👍,
Best app,
Nice airtel xstream app,
Excellebt,
ಸೂಪರ್ ಹ್ಯಾಪ್,
Very good application for live TV of AirTel,
Hope it works some day. When you can't update the content why you offer the service. Hopeless service,
Good,
One of the best quality ✨,
Does not update episods!,
Nice,
Not getting latest 2 shark tank episodes but we get all episodes free on Sony live except the latest episode.,
"Sometimes, it shows errors while streaming movies",
Sony liv episode not updated and no customer care help very bad experience,
Shark tank season 2 episodes are not updated on Sony Liv in Airtel Xstream but on Sony Liv standalone they are already updated......,
There are so many issues while watching shows on it . First new episode are uploaded but I am not able to watch them Second quality of content..,
Sonyliv episodes are not updating since 3 days,
Shows not update,
Very bad,
First give the list of free streaming apps and what apps we can install. Whats d ram capacity u r providing in that box and for break through streeming.,
Why shark tank india season 2 is not publishing latest videos... Very much disappointment,
Shark tank india episodes not refreshing up on the app. Have sent a mail through help and feedback section.,
It was good in start but now.. it is not updating new episodes... Of OTT,
Doesn't update new episodes.,
🙏🌹🙏,
Why is shark Tank season episodes not in sync with Sony? Episodes are getting delayed.,
Good app,
Boht vdia application,
New episodes are not updated on the app.,
Superb,
Good,
Awesome 👍,
Nice,
Tv shows not updated ...specially in Sony Liv,
Unable to see the Shark tank new episode please fix it.,
Episodes are not updated.. I have subscription for sonyliv till March 15 but not finding recent episides,
Great web series collections...,
This week Shark Tank S2 episodes is not live yet. Right from Episode 21 and above. Same thing happens for other Sony Shows. This leads to over all bad experience,
Shark tank indias latest episodes are not showing on this app,
I have subscribed but some movies/shows are not available in the package but separate subscription shows that movie like agnithee 2 on shemaroo.me,
Good App.,
Plan purchase page not working. And today my plan is over. Airtel is going poor day by day. Be it Broadband or app.,
Super,
I got the subscription of Sony LIV from recharge and activated it in Airtel xtream app but now no new episode is showing up in it....also my pack is still running please resolve my problem.,
💗💗💗💗💗,
This app was great but not showing the latest episodes of sony sab shows,
No updates on shows it simply worst,
Star plus ku nahi hai airtel par,
Sales exexutive munipulated by givim hoststar offer,
"Using this app is like using an illegal website or App which doesn't show contents properly. Following are the problems I faced while using this app. 1. Low quality of the contents even on 5G where speed is atleast 10mbps. 2. No timely updation of daily TV SHOWS e.g., SHARK TANK INDIA 2 episodes are not updated after episode No 20. 3. No download option in all the contents. 4. Many more if use it further.",
Amszing app,
Very nice app 👍,
Worth the money.,
Very nice and helpful to have my phone with,
Episodes of Shark tank India will come only after 24 hours after releasing in sonyliv. After 24 hours anyone can watch on sonyliv for free.. what is the point of paying xstream?,
Best,
Not worth it,
Excellent,
Good 😊,
best,
Why there is no t showing new episodes after 20 on Shark tank india and master chef india 😤,
It's too discounting,
Nice,
Video quality settings can be optimized and please upload new episodes of Shark Tank India season 2,
Good,
Very good.,
Good,
Video buffers too much even with exellent internet connectivity... Plus No New episode gets added after telecasted on tv...,
Good,
"Good app features, but lack features while playing video like volume up or down without using volume button.",
Good,
Good,
Not working properly half of the episodes are not there only,
Very nice,
"Worst app. latest episodes are not uploaded timely in xstream app. Many times contacted through email. They don't have any solution. I paid for one year, Suggestion to others buy only original ott subscription instead airtel Xstream app.",
Why the shows aren't updating on the app?? Saturday's shows are last updated,
I have the Airtel Xtreme fiber (999/month pack) but they are still asking to buy it.,
Good,
Best app,
Many shows episode is not available like Shark tank india,
"Some of the episodes is not available, on the other hand its a good aap",
Best experience and also dada consume also best thanku so much Airtel xstream app,
sonyliv episodes again stops coming. Since 2 days it's not being available in Xtreme app. Really not worth to have premium subscription.,
New episodes of shows especially from Sony liv are not available almost after 72hrs of telecasting.,
Good content,
Awesome,
Why new episodes of shark tank are not added after the 20th episode?,
Application is god
waste of money
need more channels
