,Review,Predicted Label
840,Airtel xstream app playback screen problem not solve watching episode & movie back button remove not showing app navigation bar after Update version 1.63.1 please fix this Issue Thank you team Airtel,Customer care-Query Resolution
841,Very nice,Application-Nice
842,I have a look at the moment. I have,Customer care-Poor Responsiveness
843,Nyc ott,Application-Nice
844,Useful,Application-Nice
845,Super quality pictures and super fast network I love Airtel,Application-Nice
846,I love this app very Airtel did very good job. but I have a problem I choosen Sony LIV app . I was watching shark tank i want to download the episode but there is no download option plz fix it . Download option not showing. Otherwise this app is 5 star 🌟,Application-Worst
847,Nice,Application-Nice
848,जिंदगी जीने का एक बेहतर अंदाज,Application-Nice
849,After seeing the reviews i am not downloading..,Application-Disconnection
850,Call connectivity extremely poor,Application-Nice
851,Awesooooomeeeeeeee!!!!!!!!,Application-Nice
852,Best 👌,Application-Nice
853,Best OTT app 👍,Application-Nice
854,Amazing,Application-Nice
855,Very 3rd class service,Application-Nice
856,Super,Application-Nice
857,Good,Application-Nice
858,Best'hai,Application-Nice
859,Nice ..,Application-Nice
860,Download option is not showing,Application-Worst
861,The app is not opening,Channels-Quality
862,Rest is ok. But please include the download option. There is no option to download content. Although there is a download section But not a download option is available,Channels-Quality
863,Super,Application-Nice
864,i love this app,Application-Nice
865,Good,Application-Nice
866,Needs some improvement,Application-Nice
867,Nice apps,Application-Nice
868,Worst app don't download it. Even if you get free too. Time waste.... It doesn't change video quality while we put in high quality also and playing video is full of lags.. even after update the app too..,Channels-Quality
869,Error in playing sonyliv video maharani please rectify your apps,Channels-Quality
870,Very nice app 👍,Application-Nice
871,I love you,Application-Nice
872,Awesome 👌,Application-Nice
873,Nice,Application-Nice
874,Excellent,Application-Nice
875,Now Good,Application-Nice
876,Entertaining and informational,Application-Nice
877,Good,Application-Nice
878,Being an airtel user why do we need to upgrade to airtel xstream premium?? Already recharged 299 per month mobile data plan😡😡😡😡... Other operators give free contents to their users🤬,Packages-Paying without service
879,Excellent app.,Application-Nice
880,Superb,Application-Nice
881,Very nice and beautiful app,Application-Nice
882,Superb app,Application-Nice
883,Wow exilante,Application-Nice
884,Bad experience,Application-Worst
885,Poor services,Application-Nice
886,बुरा हाल,Application-Nice
887,"While watching contents if you picked up a call then you can not use the entire screen, this app video will stock in your screen. And you have to reboot your phone. This happened with me like 3-4 times. Video quality is like 480p after selecting high video resolution. So dear team please try to fix it soon.",Channels-Quality
888,Very good,Application-Nice
889,Its a waste app. They provide this to you as a premium thing in Airtel Black but you hardly get any latest good movies on it. All are either on Prime video or Netflix. Hence no point of this app.,Application-Worst
890,Good,Application-Nice
891,Nice,Application-Nice
892,Super xstream and all old movie's available tq,Application-Nice
893,Good,Application-Nice
894,Good,Application-Nice
895,Very nice,Application-Nice
896,Very good osm,Application-Nice
897,Auto adjustment of clarity is not working properly while watching videos.,Channels-Quality
898,Videos are not playing smoothly. Very bad experience to watch Video in this app also few seconds of lag occuring while watching web series and movies.,Channels-Quality
899,Wao❤,Application-Nice
900,Exilent,Application-Nice
901,Super,Application-Nice
902,Good app,Application-Nice
903,Excellent,Application-Nice
904,Verynice and good experience,Application-Nice
905,Ok,Application-Nice
906,Super,Application-Nice
907,Nice,Application-Nice
908,Faltu application,Application-Nice
909,Good one application,Application-Nice
910,Too good,Application-Nice
911,Thank for showing me TMkoc every episode,Application-Worst
912,Good,Application-Nice
913,Osm app,Application-Nice
914,Kklgf Hhh Tyukktryjkkg Hhhhh it's bad,Application-Worst
915,Exlent,Application-Nice
916,Everything is fine for viewers,Application-Nice
917,Don't subscribe there quality is like 3gp,Channels-Quality
918,Good,Application-Nice
919,Good,Application-Nice
920,Why show ad in premium subscription. I hate Airtel sim card & other applications very bad customer service very bad 😞 .,Application-Nice
921,Quite useful,Application-Nice
922,It's nice to have all those OTT channels in one place,Application-Nice
923,Good,Application-Nice
924,Thank you,Application-Nice
925,Super,Application-Nice
926,nice and good app,Application-Nice
927,No clear offers,Application-Nice
928,Faltu app hai... Koi main stram channels nhi aate ....bikhari hai saale ....itni badi telecom company hai ....par saalo ki mass ache channels kharid ne ka paisa nhi hai ....Bhen ke lode saale !,Channels-Quality
929,Wonderful baby,Application-Nice
930,Good app.,Application-Nice
931,Best👍,Application-Nice
932,Op,Application-Nice
933,Not the best movies but still a good database and wide varities of channels to choose from.... 3rd star for adding Chaupal channel.... Some awesome Punjabi movies,Application-Nice
934,Good,Application-Nice
935,Love itt,Application-Nice
936,Very nice to Odia series..,Application-Nice
937,👍👍👍,Application-Nice
938,One of the best apps in 2023,Channels-Quality
939,Good job 👌,Application-Nice
940,Good app,Application-Nice
941,Excellent 👌☺️,Application-Nice
942,So nice,Application-Nice
943,Very nice 👍,Application-Nice
944,🤐😭😰😨,Application-Nice
945,"what's the point of giving video quality button if it's don't work even after selecting high quality it won't change the quality it automatically work on low, High quality option don't work",Channels-Quality
946,Some films are available only in hindi .. even not in its original language. If that is rectified then its amazing,Channels-Quality
947,Lots of Ads every time,Application-Disconnection
948,Why on earth you people changed the live tv interface???? Now can't see the list nor the desired hd channels,Channels-Quality
949,why new ep of sharktank not showing there? Edit: now solved..,Channels-Quality
950,Nice,Application-Nice
951,Great app,Application-Nice
952,something went wrong.getting from last two days.get hire good IT Team to resolve.,Application-Nice
953,Very nice app,Application-Nice
954,Beid,Application-Nice
955,Need fast updates of films,Channels-Quality
956,"When I got call from anyone,screen gone black,ui not showing,very sad devops team.",Application-Worst
957,Great app for all entertainment,Application-Nice
958,Excellent,Application-Nice
959,Nice,Application-Nice
960,😍😍,Application-Nice
961,Good,Application-Nice
962,Best aap,Application-Nice
963,Not interested,Application-Worst
964,Fast aps,Application-Nice
965,Excellent,Application-Nice
966,Awesome,Application-Nice
967,A person can't watch in lower data impossible in this application. Why the hell you guys force someone to watch on 480s . 2gb data barely sustains for 3 hours.,Customer care-Poor Responsiveness
968,Super,Application-Nice
969,Worst of the worst. Jio is a lot better.,Customer care-Poor Responsiveness
970,Good app,Application-Nice
971,It's too imagine app.,Application-Nice
972,"Hate the app, just got frustrated, It's been 3 days since I'm unable to play the any video it is buffering only no error, I write the email also, and FYI my internet is good. I'm using tha plan which comes with Airtel recharge.",Channels-Quality
973,Bad service,Application-Nice
974,Good,Application-Nice
975,Very nice,Application-Nice
976,Good,Application-Nice
977,Names,Application-Nice
978,Good,Application-Nice
979,Lovely platform airtel xstream,Application-Nice
980,Great,Application-Nice
981,Good,Application-Nice
982,App is fully entertainment,Application-Nice
983,Not even willing to give 1 star. Blank screen comes more than movie. And no one will be half wise. I watch movie from wifi,Application-Worst
984,Good,Application-Nice
985,Good,Application-Nice
986,Nice,Application-Nice
987,This is worst i subscribed for a single channel but after two days that channel is not only there they have removed it,Customer care-Poor Responsiveness
988,Excellent very good app,Application-Nice
989,excellent,Application-Nice
990,Good,Application-Nice
991,Best experience with xstream app.,Application-Nice
992,Good very good👍,Application-Nice
993,Fentastic 👍,Application-Nice
994,Nice app,Application-Nice
995,Awesome,Application-Nice
996,Nice,Application-Nice
997,Nice,Application-Nice
998,Previous tv serials not showing,Application-Worst
999,Good,Application-Nice
1000,Poor interface,Application-Nice
1001,Op,Application-Nice
1002,This is a very good app ia mvery impress,Application-Nice
1003,Good app,Application-Nice
1004,This app is very useful to me And when we bore we use this app entertainment our family,Application-Nice
1005,Battery draining alot,Application-Nice
1006,Amazing,Application-Nice
1007,Its great,Application-Nice
1008,Nice app,Application-Nice
1009,Nice but all live chennel not shown free only Airtel user must have all xream chennel free,Packages-Paying without service
1010,Having fun❣️😎🤘,Application-Nice
1011,Nice,Application-Nice
1012,Goid,Application-Nice
1013,Good,Application-Nice
1014,"1.English subtitles or Hindi audio is unavailable in some Tamil , Telegu or Malayalam movies showing in Sony LIV channel under airtel Xtreme.",Application-Worst
1015,Best,Application-Nice
1016,I'm So Happy,Application-Nice
1017,Excellent,Application-Nice
1018,"Worst customer experience. I have been trying to get my connection shifted to my new place, they are not taking any action since one week. Whenever I am calling to customer service they are cancelling previous request and raising a new one. Highly recommend not to use Airtel fiber. Instead go for local fiber network. I would have given negative star, if there was an option for that.",Application-Worst
1019,Mast app hai,Application-Nice
1020,Nice app,Application-Nice
1021,Good,Application-Nice
1022,Ok,Application-Nice
1023,👌👌,Application-Nice
1024,Best,Application-Nice
1025,No experience,Application-Nice
1026,Very good,Application-Nice
1027,Good app,Application-Nice
1028,Bangladesh,Application-Nice
1029,Excellent app by airtel,Application-Nice
1030,"Learn something from Jio Tv , it's better in every way for viewing content or using the app as whole",Application-Worst
1031,Super app,Application-Nice
1032,Best app,Application-Nice
1033,Good,Application-Nice
1034,Good,Application-Nice
1035,Super,Application-Nice
1036,Experience is wonderful watching channel in good video quality,Application-Nice
1037,Awesome,Application-Nice
1038,nice,Application-Nice
1039,Gud,Application-Nice
1040,Good app 👌,Application-Nice
1041,Nice....,Application-Nice
1042,Very good app,Application-Nice
1043,Excellent,Application-Nice
1044,Awesome experience on Sonylive as far as entertainment is concerned. You are simply unmatched....,Application-Nice
1045,Nice,Application-Nice
1046,I am full enjoy the movie's,Application-Nice
1047,Very good connectivity. Nice speed for download.,Application-Nice
1048,Nice,Application-Nice
1049,Amazing,Application-Nice
1050,Many Channels are not Available.,Channels-Quality
1051,Very nice,Application-Nice
1052,Good,Application-Nice
1053,Awesome,Application-Nice
1054,Great,Application-Nice
1055,The worst service and not fulfilled commitment,Application-Worst
1056,Loving it,Application-Nice
1057,Good,Application-Nice
1058,Ok,Application-Nice
1059,.pjlllk op o🐔🌴🌪️🏵️🍃🍃🍃🏵️🍃🍃🪨,Application-Nice
1060,Good,Application-Nice
1061,Lots of fun and entertainment,Application-Nice
1062,Okkkkkkkkkk,Application-Nice
1063,Awesome,Application-Nice
1064,Best aap providing best experience with Sony LIV,Application-Nice
1065,Jahanabad from sony liv Keep Rolling but not working,Application-Worst
1066,Very nice,Application-Nice
1067,Very bad app because for any vide it's take charge high costly YouTube better than this app,Application-Worst
1068,Super,Application-Nice
1069,👌,Application-Nice
1070,👍💫,Application-Nice
1071,Worst. I was expecting better from Airtel the video quality remains same at low even if you have selected high quality.,Channels-Quality
1072,Worst app,Application-Worst
1073,Good,Application-Nice
1074,I cannot claim my rewards for taking up Fibernet 200 Mbps for which some 15 OTT access was promised. Nor is there any procedure for how to activate it.,Application-Worst
1075,Good,Application-Nice
1076,Tha aap is right but some new movies are not avilebal,Channels-Quality
1077,Good,Application-Nice
1078,Colors channel not available. And in India colors is compulsory..,Channels-Quality
1079,Worst,Application-Worst
1080,Good experience with Airtel x stream,Application-Nice
1081,Good,Application-Nice
1082,Ok,Application-Nice
1083,Big,Application-Nice
1084,Great 👍,Application-Nice
1085,Good,Application-Nice
1086,Okkey but a LOT of improvement needed..... 1. Highest video quality should be 4k. It is not even seem to be 1080p. 2. Main problem is there is no download option in Mobile App version. 3. Regional channels do ñot have subtitles.,Channels-Quality
1087,Good,Application-Nice
1088,Good apss,Application-Nice
1089,"This is very poor connection, Wi-Fi not working lust one month, after giving complain continuashly, but not solve.",Application-Worst
1090,Great apps,Application-Nice
1091,Nice,Application-Nice
1092,"It is the most useless app, not even a single channel runs properly and premium has to be taken, even after that they are asking to download bsdk sony live, what is the use of such an app which is not useful, delete it all.",Channels-Quality
1093,Good,Application-Nice
1094,Nice,Application-Nice
1095,Pathetic experience,Application-Nice
1096,Shankitha email@com,Application-Nice
1097,1.Recording is chargeable monthly. 2.They close all ott services if subscription expires............ Other things are Okay,Customer care-Poor Responsiveness
1098,Excellent,Application-Nice
1099,Love it,Application-Nice
1100,👌👌👌👌,Application-Nice
1101,Awesome app,Application-Nice
1102,Best,Application-Nice
1103,Good,Application-Nice
1104,Worst app,Application-Worst
1105,To good,Application-Nice
1106,❤️❤️,Application-Nice
1107,Very Good,Application-Nice
1108,Exhilarating...,Application-Nice
1109,Best ott app ever,Application-Nice
1110,Streaming quality is not good While Singh movie I am finding green screen,Channels-Quality
1111,"Episode not loaded in real time , have premium subscription but unable to watch sharktank 2 . Please check airtel team",Packages-Paying without service
1112,Good app,Application-Nice
1113,Very nice,Application-Nice
1114,Marvelous,Application-Nice
1115,Good,Application-Nice
1116,Good experience 🙌,Application-Nice
1117,Worstttt app just making idiot to user not expected Airtel worsttt only show's add in live,Application-Worst
1118,Supar.aap,Application-Nice
1119,Nice app,Application-Nice
1120,Doesn't have a option to manage logged in devices,Channels-Quality
1121,👌👌👌👌👌👌,Application-Nice
1122,Kapil sharma show latest episodes not available. This is considered as misguiding cheating. Don't auto charge me next year.,Customer care-Query Resolution
1123,Great👍💐💐,Application-Nice
1124,Good,Application-Nice
1125,New episodes Of Kapil Sharma show and Maharashtra chi hasya jatra is not getting to watch same day.please fix this,Customer care-Query Resolution
1126,I cannot watch movies in HD and it's not working suddenly,Channels-Quality
1127,Nice,Application-Nice
1128,Great app,Application-Nice
1129,Not bad,Application-Worst
1130,एयरटेल 4G सर्विस बहुत घटिया है।,Application-Nice
1131,Uselesss not sound okk and picture quality not okkk,Channels-Quality
1132,Good,Application-Nice
1133,Very nice application...I like it....easy to use...,Application-Nice
1134,Nice entertainment app,Application-Nice
1135,Good experience,Application-Nice
1136,Good,Application-Nice
1137,Good app,Application-Nice
1138,nice,Application-Nice
1139,None of the video is Playing properly. It interrupted alot. Quality of video not good.,Channels-Quality
1140,Wonder ful,Application-Nice
1141,Superb experience,Application-Nice
1142,Very nice app,Application-Nice
1143,Nice to app,Application-Nice
1144,Awesome 👌,Application-Nice
1145,Bug plz sl,Application-Nice
1146,Good,Application-Nice
1147,"Facing issue with logging in. ""Authentication failed, Please try again!!"" Is the message I get everytime.",Channels-Quality
1148,😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋,Application-Nice
1149,The app is not getting opened in my phone.,Application-Worst
1150,Good,Application-Nice
1151,Best app enjoyed it,Application-Nice
1152,"Good app. 2 stars less because plan does not contain appropriate chanels. It does not give mostly needed chanels like hotstar, Amazon prime, Netflix...etc. fir gold plan.",Channels-Quality
1153,Not working tv,Application-Worst
1154,Pathetic trashcan. Alway ask purchase subscription of different ott. If I have to purchase the subscription then what is the use of this app.,Customer care-Poor Responsiveness
1155,"I want one year subscription of Amazon prime, Sony LIV , Disney plus hotstar in one plan . Please think about it.",Application-Worst
1156,Great app to watch live tv okk 👍,Application-Nice
1157,Thank you,Application-Nice
1158,👌,Application-Nice
1159,😘,Application-Nice
1160,Excellent,Application-Nice
1161,Very good application for the costumers,Application-Nice
1162,Good,Application-Nice
1163,Bead,Application-Nice
1164,Super 💕,Application-Nice
1165,All shows from Sony LIV are not in the app,Channels-Quality
1166,Good,Application-Nice
1167,Useless as other airtel stuff. Update2: you will never find the latest Sony LIV content on the xstream app. Everything shows up the next day.,Customer care-Poor Responsiveness
1168,Good,Application-Nice
1169,Best for the airtel xstream app,Application-Nice
1170,Best,Application-Nice
1171,Valo law,Application-Nice
1172,good,Application-Nice
1173,Good,Application-Nice
1174,"Sir, please add travel xp hd in dth plateform I'm waitting for long time hope you add this channel very soon thank you...",Application-Worst
1175,"Previously, not long ago all the popular channels were free, but alas now NOT.",Channels-Quality
1176,Two year's,Application-Nice
1177,Good service from Airtel Xtreme,Application-Nice
1178,I feel Sometimes video quality is not good .,Channels-Quality
1179,Superb app not in between nice thank to u Airtel love u,Application-Nice
1180,👍,Application-Nice
1181,Very good app,Application-Nice
1182,Good,Application-Nice
1183,👍 good,Application-Nice
1184,We dont have option download movies. After paying 149/- monthly subscrition charges. Dont have option to download movies in lionsgate.,Channels-Quality
1185,The application load issues doesnt load even on wifi 5g. Poor experience,Channels-Quality
1186,High speed internet I have also app will take more time to open,Application-Worst
1187,Jin ke setup box mai jo channel activate hai vahi channel isi app me vahi channel chalne chahiye,Channels-Channel Navigation
1188,Super,Application-Nice
1189,The back button annoys me,Application-Nice
1190,"It's very nice,entertaining app",Application-Nice
1191,Good,Application-Nice
1192,"Last time this app is not working, so many times I tried to open it. But now its okey.",Application-Worst
1193,Good,Application-Nice
1194,Download option missing,Customer care-Query Resolution
1195,Good,Application-Nice
1196,Awesome experience,Application-Nice
1197,Super,Application-Nice
1198,Nice aap,Application-Nice
1199,Best,Application-Nice
1200,Gud,Application-Nice
1201,excellent.....one of the plateform u enjoy too much....,Application-Nice
1202,Good,Application-Nice
1203,recharge says premium subscription after recharge still shows no active plans even after claiming it ...worst,Application-Disconnection
1204,"Overall nice experience, keep going up..!!",Application-Nice
1205,Good,Application-Nice
1206,Please improve loading video,Customer care-Query Resolution
1207,Good,Application-Nice
1208,Whenever I try to reduce video quality it always play with same high quality and consume a lot of internet data.,Channels-Quality
1209,How can i download movie?,Application-Nice
1210,Video player should be more good and have some more good features like other OTT have,Application-Nice
1211,I like this app,Application-Nice
1212,unable to watch after having recharge on Airtel,Application-Disconnection
1213,Good app,Application-Nice
1214,Good,Application-Nice
1215,Even after giving money not receiving the latest episode of all shows of the particular subscription,Channels-Quality
1216,Bekar,Application-Nice
1217,Good app for entertainment,Application-Nice
1218,Live tv with cast to tv not working,Application-Worst
1219,Good,Application-Nice
1220,Super,Application-Nice
1221,Good,Application-Nice
1222,Good,Application-Nice
1223,Give more free Dish channels,Packages-Paying without service
1224,All movie prime Aisi app ka ham kya karenge,Application-Nice
1225,Very good,Application-Nice
1226,There are no avtar way of water,Channels-Quality
1227,Jay mahakal,Application-Nice
1228,Please open your channel,Application-Worst
1229,Nice,Application-Nice
1230,Worst customer service Cheated a lot of money,Application-Worst
1231,Live tv option in smart tv not available,Application-Worst
1232,Excellent,Application-Nice
1233,Good apps,Application-Nice
1234,"Heyyyyyyyyyy airtel xstream I wanted to tell you that. There are not all tv shows like colours, star plus , Sony Live and Hungama, Disney channel, pogo cartoon network and so on. Which I want to see earlier there was some shows which I like but now there is no show which I like . My request is to add these channel which I suggested in above and I am not happy to give you any star but then also I am giving you two star because earlier you made me happy now also made me happy by adding tv shows.",Channels-Quality
1235,It's a good app.,Application-Nice
1236,"Why shark tank India episodes after episode 20 are not updating,Is there any issue with the server?Please fix it. Thanks for fixing the above. I am an Airtel xtreme fiber user ,since apps premium comes under my package but why you are still asking to subscribe @149/month. Please fix up these bugs as they are impacting users like me hightime.",Customer care-Poor Responsiveness
1237,Nice app,Application-Nice
1238,Nice,Application-Nice
1239,"Fake subscription offers providing with reacharge and there is nothing in subscription while opening app showing please get subscription ,,why are you guys makeing your costumer fool and confusing then by giving such a fake reacharge offers ,, there is nothing free no any channel free with reacharge, so many customers will stop using Airtel services bcz of this fake offers",Channels-Quality
1240,Nice...,Application-Nice
1241,Very good 🙂,Application-Nice
1242,Good,Application-Nice
1243,SONY LIVE LATEST EPISODE NOT SHOW IN XTREAM APP VERY DISSAPOINTED LIKE ALIBABA DAASTAN E KABUL TODAY RELEASED ALREADY IN SONY LIV SEPRATE APP BUT IN XTREAM APP NOT SHOW LATEST EPISODE very dissapointed bad app,Application-Worst
1244,"This application is truly awesome for watching series, shows & Movies",Application-Nice
1245,Good,Application-Nice
1246,This is worst app App open timing is very high,Application-Worst
1247,Fraud app. All purchases. I bought 1 month 499 plan just to get sony liv access in airtel xtream. But when I try to access it says buy premium at 150. Total fraud by airtel. I have also mailed the issue to airtel support but no response. Please don't buy any plan that says you will get Airtel Xtreme,Application-Worst
1248,Nice,Application-Nice
1249,Ukhy,Application-Nice
1250,Good,Application-Nice
1251,It runs in the background,Channels-Quality
1252,The picture is of poor quality,Channels-Quality
1253,While trying to play a movie error showing multiple times,Application-Worst
1254,Best app in the world 🌎 love you Airtel,Application-Nice
1255,Best app but please give me reply😽💞😘🥰,Application-Nice
1256,Excellent,Application-Nice
1257,Lot's of ads I'm porting sim to jio now,Application-Disconnection
1258,Very good app for entertainment.,Application-Nice
1259,nice 😍😍,Application-Nice
1260,So good,Application-Nice
1261,Excellent,Application-Nice
1262,Best 👍 video quality,Channels-Quality
1263,Best,Application-Nice
1264,👍,Application-Nice
1265,"No option/ won't install, show's your (redmi) device is incompatible. Seriously! It's new lows, as it is the app is monetising content so primitive it should be technically free by now but instead such scheming practices.",Channels-Quality
1266,Thanks for customer support Airtel Xtreme.,Application-Nice
1267,Awesome 👍🏻,Application-Nice
1268,Iam really happy.. I was facing an issue in this application since monday and i mailed through help and feedback section.. They asked for screenshots and cleared that issue nicely.. Thankyou so much,Application-Worst
1269,"Doesn't operate well, no response to click ...",Application-Nice
1270,Some.time it's stop working automatically,Application-Worst
1271,Awesome user friendly App,Application-Nice
1272,Nice to entertainment,Application-Nice
1273,Excellent ❤️,Application-Nice
1274,After 30th January....Sony LIV content is not updated in this app... Edited on 2nd Feb....Issue Resolved on 2 Feb ... Thanks,Channels-Quality
1275,Nice 👍,Application-Nice
1276,Best app,Application-Nice
1277,Nice airtel xstream app,Application-Nice
1278,Excellebt,Application-Nice
1279,ಸೂಪರ್ ಹ್ಯಾಪ್,Application-Nice
1280,Very good application for live TV of AirTel,Application-Nice
1281,Hope it works some day. When you can't update the content why you offer the service. Hopeless service,Customer care-Poor Responsiveness
1282,Good,Application-Nice
1283,One of the best quality ✨,Channels-Quality
1284,Does not update episods!,Channels-Quality
1285,Nice,Application-Nice
1286,Not getting latest 2 shark tank episodes but we get all episodes free on Sony live except the latest episode.,Channels-Quality
1287,"Sometimes, it shows errors while streaming movies",Channels-Quality
1288,Sony liv episode not updated and no customer care help very bad experience,Application-Worst
1289,Shark tank season 2 episodes are not updated on Sony Liv in Airtel Xstream but on Sony Liv standalone they are already updated......,Channels-Quality
1290,There are so many issues while watching shows on it . First new episode are uploaded but I am not able to watch them Second quality of content..,Channels-Quality
1291,Sonyliv episodes are not updating since 3 days,Channels-Quality
1292,Shows not update,Application-Worst
1293,Very bad,Application-Nice
1294,First give the list of free streaming apps and what apps we can install. Whats d ram capacity u r providing in that box and for break through streeming.,Channels-Quality
1295,Why shark tank india season 2 is not publishing latest videos... Very much disappointment,Customer care-Query Resolution
1296,Shark tank india episodes not refreshing up on the app. Have sent a mail through help and feedback section.,Channels-Quality
1297,It was good in start but now.. it is not updating new episodes... Of OTT,Channels-Quality
1298,Doesn't update new episodes.,Channels-Quality
1299,🙏🌹🙏,Application-Nice
1300,Why is shark Tank season episodes not in sync with Sony? Episodes are getting delayed.,Channels-Quality
1301,Good app,Application-Nice
1302,Boht vdia application,Application-Nice
1303,New episodes are not updated on the app.,Channels-Quality
1304,Superb,Application-Nice
1305,Good,Application-Nice
1306,Awesome 👍,Application-Nice
1307,Nice,Application-Nice
1308,Tv shows not updated ...specially in Sony Liv,Channels-Quality
1309,Unable to see the Shark tank new episode please fix it.,Application-Worst
1310,Episodes are not updated.. I have subscription for sonyliv till March 15 but not finding recent episides,Channels-Quality
1311,Great web series collections...,Application-Nice
1312,This week Shark Tank S2 episodes is not live yet. Right from Episode 21 and above. Same thing happens for other Sony Shows. This leads to over all bad experience,Application-Worst
1313,Shark tank indias latest episodes are not showing on this app,Channels-Quality
1314,I have subscribed but some movies/shows are not available in the package but separate subscription shows that movie like agnithee 2 on shemaroo.me,Channels-Quality
1315,Good App.,Application-Nice
1316,Plan purchase page not working. And today my plan is over. Airtel is going poor day by day. Be it Broadband or app.,Application-Worst
1317,Super,Application-Nice
1318,I got the subscription of Sony LIV from recharge and activated it in Airtel xtream app but now no new episode is showing up in it....also my pack is still running please resolve my problem.,Channels-Quality
1319,💗💗💗💗💗,Application-Nice
1320,This app was great but not showing the latest episodes of sony sab shows,Application-Worst
1321,No updates on shows it simply worst,Application-Worst
1322,Star plus ku nahi hai airtel par,Application-Nice
1323,Sales exexutive munipulated by givim hoststar offer,Application-Nice
1324,"Using this app is like using an illegal website or App which doesn't show contents properly. Following are the problems I faced while using this app. 1. Low quality of the contents even on 5G where speed is atleast 10mbps. 2. No timely updation of daily TV SHOWS e.g., SHARK TANK INDIA 2 episodes are not updated after episode No 20. 3. No download option in all the contents. 4. Many more if use it further.",Channels-Quality
1325,Amszing app,Application-Nice
1326,Very nice app 👍,Application-Nice
1327,Worth the money.,Application-Nice
1328,Very nice and helpful to have my phone with,Application-Nice
1329,Episodes of Shark tank India will come only after 24 hours after releasing in sonyliv. After 24 hours anyone can watch on sonyliv for free.. what is the point of paying xstream?,Channels-Quality
1330,Best,Application-Nice
1331,Not worth it,Application-Worst
1332,Excellent,Application-Nice
1333,Good 😊,Application-Nice
1334,best,Application-Nice
1335,Why there is no t showing new episodes after 20 on Shark tank india and master chef india 😤,Channels-Channel Navigation
1336,It's too discounting,Application-Nice
1337,Nice,Application-Nice
1338,Video quality settings can be optimized and please upload new episodes of Shark Tank India season 2,Channels-Quality
1339,Good,Application-Nice
1340,Very good.,Application-Nice
1341,Good,Application-Nice
1342,Video buffers too much even with exellent internet connectivity... Plus No New episode gets added after telecasted on tv...,Channels-Quality
1343,Good,Application-Nice
1344,"Good app features, but lack features while playing video like volume up or down without using volume button.",Application-Nice
1345,Good,Application-Nice
1346,Good,Application-Nice
1347,Not working properly half of the episodes are not there only,Channels-Quality
1348,Very nice,Application-Nice
1349,"Worst app. latest episodes are not uploaded timely in xstream app. Many times contacted through email. They don't have any solution. I paid for one year, Suggestion to others buy only original ott subscription instead airtel Xstream app.",Customer care-Poor Responsiveness
1350,Why the shows aren't updating on the app?? Saturday's shows are last updated,Channels-Quality
1351,I have the Airtel Xtreme fiber (999/month pack) but they are still asking to buy it.,Customer care-Poor Responsiveness
1352,Good,Application-Nice
1353,Best app,Application-Nice
1354,Many shows episode is not available like Shark tank india,Channels-Quality
1355,"Some of the episodes is not available, on the other hand its a good aap",Channels-Quality
1356,Best experience and also dada consume also best thanku so much Airtel xstream app,Application-Nice
1357,sonyliv episodes again stops coming. Since 2 days it's not being available in Xtreme app. Really not worth to have premium subscription.,Channels-Quality
1358,New episodes of shows especially from Sony liv are not available almost after 72hrs of telecasting.,Channels-Quality
1359,Good content,Application-Nice
1360,Awesome,Application-Nice
1361,Why new episodes of shark tank are not added after the 20th episode?,Channels-Quality
